ID,Houses,Apartments,Rooms,District I,District II,District III,District IV,District V,District VI,District VII,District VIII,District IX,District X,District XI,District XII,District XIII,District XIV,District XV,District XVI,District XVII,District XVIII,District XIX,District XX,District XXI,District XXII,District XXIII,Price(HUF per month),Size(sqm),Price per sqm (HUF),Street,Floor,Name of Residential complex,Parking place,View,View: Garden view,View: Panoramic view,View: Street view,Elevator,Lift,Air conditioning,Air conditioner,Number of rooms,Number of rooms: whole rooms,Number of rooms: half rooms,Condition of property,Condition of property: Newly build,Condition of property: In good condition,Condition of property: Renovated,Condition of property: In medium condition,Condition of property: Needs renovation,Condition of property: Mint,Utility level,Utility: double comfort,Utility: full comfort,Utility luxury,Energy Performance Certificate,Furnished,Floors of the building,Ceiling height,Heating,Heating: gas,Heating: wall_heating,Heating: combination,Heating: ceiling,Heating: central heating,Accessible,Bathroom and toilet,Bathroom: separate,Bathroom: together,Orientation,Orientation: North,Orientation: South,Orientation: East,Orientation: West,Orientation: Northeast,Orientation: Northwest,Orientation: Southwest,Orientation: Southeast,Garden access,Balcony,Attic,Attic: Loft conversion,Transportation,Latitude,Longitude,Lats,Lons,Postcode,District,Distace to Danube,Distace to City Centre,Distace to Keleti,Distace to Nyugati,Distance to Deli,Distance to Airport,Distance to Eco Zone,Distance to Crime Pot,Distance to Uni1,Distance to Uni2,Distance to Uni3,Distance to Uni4,Distance to Uni5,Distance to Uni6,Distance to Uni7,Distance to Uni8,Distance to Uni9,Distance to Uni10,Distance to Uni11,Distance to Uni12,Distance to Uni13,Distance to Uni14,Distance to Uni15,Distance to Uni16,Distance to Uni17,Distance to Uni18,Distance to Uni19,Distance to Uni20,Distance to Uni21,Amenity: Sustenance,Amenity: School,Amenity: Education,Amenity: Financial,Amenity: Healthcare,Amenity: Arts,Amenity: Entertainment,Amenity: Religion,Amenity: police,Amenity: Government,Amenity: Vending_machine,Amenity: Transportation_bicycle,Amenity: Transportation_car,Amenity: Fuel,Amenity: Parking,Amenity: Coworking_space,Amenity: Recycling,Amenity: Others
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250000,157,1592.356688, Grassalkovich út,-1,-1,1,street view,0,0,1,-1,-1,-1,-1,5 + 1 half room,5,1,renovated,0,0,1,0,0,0,not specified,0,0,0,-1,1,1,-1,central heating,0,0,0,0,1,-1,together,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1, Busz   135   166    Éjszakai   966   ,47.400065999999995,19.114332,47.400065999999995,19.114332,1238,23,0.006392214827216827,11.744355328152938,11.49858832443724,13.124569160420412,13.132789156167355,11.228299435784505,0.9941523621151972,11.751809346132324,11.19206517960358,10.931576316677916,10.931576316677916,10.095888924225278,12.042947697862624,10.921840020005476,11.9269447531283,12.195605384379695,10.491527453351898,9.621513654520824,12.078112156631498,12.469795563868676,18.586370893115784,10.665731830052769,13.239822564269707,15.932534087774133,9.349974601369293,16.077555464165176,10.839124701371484,10.332999100048992,12.397952499140274,10,12,2,4,4,2,3,5,0,0,0,1,0,0,7,0,1,21
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270000,190,1421.0526320000001, Barátka utca,-1,-1,1,garden view,1,0,0,-1,-1,available,1,5 + 2 half room,5,2,in good condition,0,1,0,0,0,0,double comfort,1,0,0,-1,0,4,-1,gázkazán,0,0,0,0,0,no,separate,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,loft conversion,1, Busz   67   ,47.475,19.232689999999998,47.475,19.232689999999998,1173,17,1.4200411566580968,13.882809261222167,11.563103308432458,13.796548660522133,15.907540633508642,4.306575122374902,11.846990713270431,13.015311746729374,12.712904768026169,12.823114004254187,12.823114004254187,13.335245249667535,8.92334724382099,12.376656629782342,8.11482337058954,14.049799524216391,13.196410501784456,12.054904151916508,13.033173204652176,12.960969977668586,16.559976015227136,12.944817471107733,10.119872884026146,18.72709646081169,11.096675780127251,16.2836116630829,12.683782122177153,12.489272972903875,15.79557895941247,18,39,0,3,21,0,3,13,0,2,1,5,5,0,80,0,9,46
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130000,44,2954.545455, Templom utca,-1,-1,1,garden view,1,0,0,-1,-1,not available,0,2 room,2,0,renovated,0,0,1,0,0,0,full comfort,0,1,0,-1,0,1,-1,natural gas (convector),1,0,0,0,0,no,together,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,loft conversion not possible,0, Busz   135   166    Éjszakai   966   ,47.40122,19.116419,47.40122,19.116419,1238,23,0.2026480318113797,11.692716373293765,11.405539006189318,13.056005092612136,13.104795040655349,11.034243799355568,1.1805954483231675,11.68307526159407,11.123002736222684,10.867242992098827,10.867242992098827,10.051209077902538,11.905821362324286,10.848737154759144,11.779918216828852,12.142133909896696,10.43948061429171,9.553283021332515,12.006448757419529,12.392934206695909,18.501185305451006,10.606551904226569,13.111946415000768,15.920521129668396,9.263522211003432,16.01830598842515,10.772888701177424,10.26759835951458,12.377798566998894,8,11,2,4,4,2,3,3,0,0,0,1,0,0,5,0,1,20
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290000,130,2230.7692309999998, Nádasdy utca,-1,-1,1,not specified,0,0,0,-1,-1,available,1,4 room,4,0,mint,0,0,0,0,0,1,not specified,0,0,0,-1,1,2,-1,combination boiler,0,0,1,0,0,no,separate and together too,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,loft conversion,1, Busz   54   55   194   194B   199    Éjszakai   948   999   ,47.44038,19.143572,47.44038,19.143572,1194,19,0.8574551064809238,9.364994421837764,8.135858750203266,10.238723809340664,11.224077959598231,8.17772454607798,4.347258313063799,8.955302970549996,8.434015290736019,8.313631656251816,8.313631656251816,8.056580123939126,7.6704622298511795,8.089048277079282,7.367609235731907,9.735372867240333,8.222906811762135,7.052598332114824,9.186407278152217,9.427177036418616,15.123914892912884,8.201584043696116,9.01853096134441,14.252719204316694,6.3553817012989136,13.269414206119704,8.18317893025617,7.749940094444133,10.73575283080168,15,16,1,2,20,0,0,15,0,2,0,0,5,0,27,0,10,55
4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,613700,200,3068.5, Kenyeres utca,-1,-1,-1,not specified,0,0,0,-1,-1,available,1,5 + 1 half room,5,1,renovated,0,0,1,0,0,0,full comfort,0,1,0,AA++,0,1,-1,combination boiler,0,0,1,0,0,-1,separate and together too,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1, Villamos   17   19   41    Busz   160   260   260A   9   29   109   111    Éjszakai   923   934   960   ,47.53736,19.035591,47.53736,19.035591,1034,3,1.0176246082671272,4.680537180103125,5.396142307279957,3.292718444224348,4.0825915273476445,19.63849552558269,0.4546854301950919,4.65207244810884,5.210209422970852,5.446173186470107,5.446173186470107,6.3692524397572186,7.426425369093784,5.513913273863916,8.233649825648287,4.217604858766373,5.913904731348016,6.76835600775629,4.360475341931164,4.069880155944372,3.078395343238957,5.709515411607968,6.288953693496794,4.0517821856441145,7.217849811948247,0.36498100164681385,5.54518474435126,6.047339716047035,4.9551641032327804,141,47,2,29,26,4,14,23,1,2,91,61,10,1,208,0,17,507
5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140000,170,823.5294117999997, Bekecs utca,-1,-1,1,garden view,1,0,0,-1,-1,not available,0,1 + 1 half room,1,1,in medium condition,0,0,0,1,0,0,full comfort,0,1,0,-1,1,1,-1,combination boiler,0,0,1,0,0,no,separate,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1, Hév   H9    Busz   31    Éjszakai   931   ,47.53417,19.206770000000002,47.53417,19.206770000000002,1162,16,6.476491895615197,12.445799389837296,9.92466404593908,11.505646119927215,14.156033263552635,11.163008980635093,11.796019272450245,11.41234392746657,11.407118285418205,11.691848482853882,11.691848482853882,12.771546782678987,6.819543226781138,11.19363864322301,6.199015332334048,12.37873451566804,12.381481107725847,11.63514245402037,11.23149661369593,10.901125440267409,11.890062459479383,11.990622831487894,7.098868535398076,16.304959681189224,10.815991910670398,12.940530941088095,11.589806804611845,11.678769277895453,14.434440874311097,6,1,0,0,2,0,0,2,0,0,0,1,0,0,7,0,0,22
6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430000,205,2097.560976, Hűvösvölgyi út,-1,-1,1,not specified,0,0,0,-1,-1,not available,0,7 room,7,0,renovated,0,0,1,0,0,0,double comfort,1,0,0,-1,0,3,-1,gáz (cirko),1,0,0,0,0,no,separate and together too,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1, Villamos   56   56A   59B   61    Busz   129   29    Éjszakai   956   ,47.52746,18.981545999999998,47.52746,18.981545999999998,1021,2,3.1287377810792547,6.229919695603844,8.210949730727217,5.950737030466139,4.342885964976059,22.616564720905128,4.660123729215266,6.868903410204599,7.294068318800295,7.322851132811442,7.322851132811442,7.535754871312102,10.950331564727952,7.6532622642557575,11.773899367532609,5.917724363675848,7.333452646744019,8.514303463565668,6.775125692749812,6.7919726572197225,6.658845583521705,7.376271683743156,10.054910328399496,1.4007674770234029,9.304177771631275,4.037729780601906,7.462310960515584,7.842753341082558,4.959006493268672,16,32,2,7,56,4,0,12,0,2,3,2,2,0,63,0,11,223
7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600000,150,4000.0, Sashegyi út,-1,-1,-1,panoramic,0,1,0,-1,-1,not available,0,4 room,4,0,renovated,0,0,1,0,0,0,full comfort,0,1,0,-1,0,2,-1,central heating,0,0,0,0,1,no,together,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,loft conversion not possible,0, Villamos   59   59A   59B    Busz   8E    Éjszakai   908   ,47.4866,19.01334,47.4866,19.01334,1124,12,1.3186318990318922,3.0163008452926365,5.546598181372137,4.3131317081628735,1.851010136116992,18.73811142365155,3.631082490518687,4.050589475519886,4.087953505981157,3.856809128567912,3.856809128567912,3.216753958848253,8.690334846193325,4.352773258618552,9.415400382309668,3.138830648284816,3.3479692991093537,4.484644739155288,4.259394640369103,4.659675930177072,8.934398876430043,3.645215892273507,8.44217662967615,3.735294357028682,5.439456722879764,5.52178988803049,3.980925459035788,4.072030643303656,1.1206953709858507,79,64,1,17,49,6,8,15,2,2,23,31,10,2,108,0,8,379
8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,980000,260,3769.230769, Verecke út 97,-1,-1,1,panoramic,0,1,0,-1,-1,available,1,6 room,6,0,mint,0,0,0,0,0,1,luxury,0,0,1,-1,0,5,-1,combination boiler,0,0,1,0,0,no,separate and together too,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,loft conversion,1, Busz   11   ,47.532917,18.999174,47.532917,18.999174,1025,2,1.6720576229288038,5.599360458897788,7.260257980440349,4.96205161891191,3.9915950834615916,21.71832759232861,3.218947909415645,6.059215010342027,6.5440759078859765,6.640402101351087,6.640402101351087,7.0970357902949965,9.808026921614237,6.898915210235765,10.631409899532603,5.218044607764872,6.801448394794963,7.9151969250028875,5.9002720154675625,5.825265147230616,5.2356880017861815,6.764301686875782,8.822221226523345,1.9040059004800316,8.613070565766584,2.648128026811918,6.772284939680492,7.206143742565375,4.775336109897999,21,21,2,7,32,1,0,4,0,0,2,2,1,0,43,0,9,213
9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290000,180,1611.111111, Mária királyné útja,-1,-1,1,garden view,1,0,0,-1,-1,available,1,3 room,3,0,renovated,0,0,1,0,0,0,full comfort,0,1,0,-1,0,3,-1,combination boiler,0,0,1,0,0,no,together,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1, Busz   148   152    Éjszakai   948   ,47.4008,19.09179,47.4008,19.09179,1213,21,1.4179883213619937,11.083241871368186,11.20205141044933,12.591931336344562,12.273626314758866,12.78514520519079,0.6134985794467287,11.234162918159926,10.68376793512615,10.385914454530164,10.385914454530164,9.398431817339956,12.188093749370694,10.452129109002923,12.186807388135918,11.544912100539428,9.848659439577707,9.128516249613655,11.582317222338785,12.015560769454241,18.165695096541565,10.079882282556024,13.272189979533767,14.9406305055072,9.024221225807832,15.445664528423869,10.31093228889368,9.804556072210175,11.486225915435323,10,23,2,1,7,2,3,2,0,0,0,1,0,0,37,0,2,22
