ID,poi shape,poi type,coordinate,amenity_types
0,Polygon,courthouse," 19.0514766, 47.510016 ",Government
1,Polygon,bank," 19.0523756, 47.5046371 ",Financial
2,Polygon,public_building," 19.0497568, 47.4983713 ",others
3,Polygon,college," 19.0537326, 47.5088453 ",School
4,Polygon,public_building," 19.0493761, 47.5071711 ",others
5,Polygon,public_building," 19.0462421, 47.505209 ",others
6,Polygon,school," 19.0487242, 47.5006903 ",School
7,Polygon,school," 19.0536602, 47.5015933 ",School
8,Polygon,school," 19.0544475, 47.4967267 ",School
9,Polygon,public_building," 19.049542, 47.5002585 ",others
10,Polygon,community_centre," 19.0749615, 47.5108871 ",Entertainment
11,Polygon,marketplace," 19.0656248, 47.5050459 ",others
12,Polygon,university," 19.0641284, 47.503431 ",School
13,Polygon,townhall," 19.0513466, 47.497901 ",Government
14,Polygon,police," 19.0689933, 47.5327737 ",Police
15,Polygon,townhall," 19.089633, 47.5624671 ",Government
16,Polygon,place_of_worship," 19.1101247, 47.5827171 ",Religion
17,Polygon,university," 19.0187615, 47.4914711 ",School
18,Polygon,parking," 19.0551322, 47.5181488 ",Parking
19,Polygon,community_centre," 19.0646547, 47.5050045 ",Entertainment
20,Polygon,embassy," 19.0644105, 47.5054016 ",others
21,Polygon,parking," 19.0576485, 47.5187273 ",Parking
22,Polygon,parking," 19.0523714, 47.5216278 ",Parking
23,MultiPolygon,parking," 19.0546222, 47.598851 ",Parking
24,Polygon,bus_station," 19.0028209, 47.3319477 ",others
25,Polygon,university," 19.0853887, 47.4813697 ",School
26,Polygon,exhibition_center," 19.1207243, 47.4952978 ",others
27,MultiPolygon,marketplace," 19.1840594, 47.4425549 ",others
28,MultiPolygon,parking," 19.03993, 47.4749705 ",Parking
29,Polygon,public_building," 19.0467237, 47.5071404 ",others
30,Polygon,public_building," 19.046402, 47.5033429 ",others
31,Polygon,theatre," 19.0495397, 47.4962863 ",Entertainment
32,Polygon,university," 19.0602349, 47.4849214 ",School
33,Polygon,community_centre," 19.0484033, 47.502196 ",Entertainment
34,Polygon,library," 19.0461145, 47.5014708 ",Education
35,Polygon,community_centre," 19.0532107, 47.5027967 ",Entertainment
36,Polygon,community_centre," 19.067476, 47.484909 ",Entertainment
37,Polygon,university," 19.0598442, 47.4745715 ",School
38,Polygon,library," 19.0537999, 47.4901385 ",Education
39,Polygon,community_centre," 19.0857655, 47.4898282 ",Entertainment
40,Polygon,place_of_worship," 19.080574, 47.4950954 ",Religion
41,Polygon,clinic," 19.0664566, 47.488667 ",Healthcare
42,Polygon,social_facility," 18.9711527, 47.5270602 ",Healthcare
43,Polygon,place_of_worship," 19.0382971, 47.5020352 ",Religion
44,Polygon,embassy," 19.0285468, 47.5030887 ",others
45,Polygon,monastery," 19.029877, 47.497405 ",others
46,Polygon,parking," 19.0282426, 47.4951734 ",Parking
47,Polygon,school," 19.0352166, 47.4962532 ",School
48,Polygon,parking," 19.0388306, 47.472994 ",Parking
49,Polygon,doctors," 19.0547836, 47.5727457 ",Healthcare
50,Polygon,police," 19.0961139, 47.5143432 ",Police
51,Polygon,marketplace," 19.0857172, 47.504476 ",others
52,Polygon,place_of_worship," 19.0390599, 47.503843 ",Religion
53,Polygon,university," 19.0679289, 47.507155 ",School
54,Polygon,school," 19.0662681, 47.5069039 ",School
55,Polygon,community_centre," 19.0703822, 47.5013957 ",Entertainment
56,Polygon,restaurant," 19.0636623, 47.4967767 ",Sustenance
57,Polygon,school," 19.0363444, 47.4926273 ",School
58,Polygon,community_centre," 19.0566542, 47.5020456 ",Entertainment
59,Polygon,police," 19.0740443, 47.4755274 ",Police
60,Polygon,public_building," 19.0532291, 47.5043768 ",others
61,Polygon,kindergarten," 19.1435964, 47.5115761 ",School
