,poi shape,poi type,coordinate
0,Polygon,courthouse,"[19.0514766, 47.510016]"
1,Polygon,bank,"[19.0523756, 47.5046371]"
2,Polygon,public_building,"[19.0497568, 47.4983713]"
3,Polygon,college,"[19.0537326, 47.5088453]"
4,Polygon,public_building,"[19.0493761, 47.5071711]"
5,Polygon,public_building,"[19.0462421, 47.505209]"
6,Polygon,school,"[19.0487242, 47.5006903]"
7,Polygon,school,"[19.0536602, 47.5015933]"
8,Polygon,school,"[19.0544475, 47.4967267]"
9,Polygon,public_building,"[19.049542, 47.5002585]"
10,Polygon,community_centre,"[19.0749615, 47.5108871]"
11,Polygon,marketplace,"[19.0656248, 47.5050459]"
12,Polygon,university,"[19.0641284, 47.503431]"
13,Polygon,townhall,"[19.0513466, 47.497901]"
14,Polygon,police,"[19.0689933, 47.5327737]"
15,Polygon,townhall,"[19.089633, 47.5624671]"
16,Polygon,place_of_worship,"[19.1101247, 47.5827171]"
17,Polygon,university,"[19.0187615, 47.4914711]"
18,Polygon,parking,"[19.0551322, 47.5181488]"
19,Polygon,community_centre,"[19.0646547, 47.5050045]"
20,Polygon,embassy,"[19.0644105, 47.5054016]"
21,Polygon,parking,"[19.0576485, 47.5187273]"
22,Polygon,parking,"[19.0523714, 47.5216278]"
23,MultiPolygon,parking,"[19.0546222, 47.598851]"
24,Polygon,bus_station,"[19.0028209, 47.3319477]"
25,Polygon,university,"[19.0853887, 47.4813697]"
26,Polygon,exhibition_center,"[19.1207243, 47.4952978]"
27,MultiPolygon,marketplace,"[19.1840594, 47.4425549]"
28,MultiPolygon,parking,"[19.03993, 47.4749705]"
29,Polygon,public_building,"[19.0467237, 47.5071404]"
30,Polygon,public_building,"[19.046402, 47.5033429]"
31,Polygon,theatre,"[19.0495397, 47.4962863]"
32,Polygon,university,"[19.0602349, 47.4849214]"
33,Polygon,community_centre,"[19.0484033, 47.502196]"
34,Polygon,library,"[19.0461145, 47.5014708]"
35,Polygon,community_centre,"[19.0532107, 47.5027967]"
36,Polygon,community_centre,"[19.067476, 47.484909]"
37,Polygon,university,"[19.0598442, 47.4745715]"
38,Polygon,library,"[19.0537999, 47.4901385]"
39,Polygon,community_centre,"[19.0857655, 47.4898282]"
40,Polygon,place_of_worship,"[19.080574, 47.4950954]"
41,Polygon,clinic,"[19.0664566, 47.488667]"
42,Polygon,social_facility,"[18.9711527, 47.5270602]"
43,Polygon,place_of_worship,"[19.0382971, 47.5020352]"
44,Polygon,embassy,"[19.0285468, 47.5030887]"
45,Polygon,monastery,"[19.029877, 47.497405]"
46,Polygon,parking,"[19.0282426, 47.4951734]"
47,Polygon,school,"[19.0352166, 47.4962532]"
48,Polygon,parking,"[19.0388306, 47.472994]"
49,Polygon,doctors,"[19.0547836, 47.5727457]"
